"","id","metric","value","id","metric","value"
"1","1","var1",9.22133711768484,"1","var1",1
"2","1","var2",91.7823623408039,"1","var2",1
"3","1","var3",1107.617105812,"1","var3",1
"4","1","var4",11026.6316096543,"1","var4",1
"5","2","var1",9.61052360400533,"2","var1",1.04220499493225
"6","2","var2",98.8758536950599,"2","var2",1.0772859967138
"7","2","var3",1026.10183537977,"2","var3",0.926404828884923
"8","2","var4",9602.19441220501,"2","var4",0.870818464978726
"9","3","var1",7.96620167099248,"3","var1",0.863887912276275
"10","3","var2",102.030472895743,"3","var2",1.11165664397356
"11","3","var3",901.819077045316,"3","var3",0.814197498678202
"12","3","var4",10613.4173794965,"3","var4",0.962525797107799
"13","4","var1",9.01762689571919,"4","var1",0.977908819581601
"14","4","var2",91.0066015901561,"4","var2",0.99154782323245
"15","4","var3",1080.44858445497,"4","var3",0.975471197389007
"16","4","var4",11799.7463754899,"4","var4",1.07011341207398
"17","5","var1",10.2478900539655,"5","var1",1.11132365330315
"18","5","var2",94.5446257691335,"5","var2",1.03009579790584
"19","5","var3",1073.0876662145,"5","var3",0.96882547279533
"20","5","var4",10647.9194012713,"5","var4",0.965654769127195
"21","6","var1",7.89613537131611,"6","var1",0.856289632462603
"22","6","var2",110.554262522168,"6","var2",1.20452622598295
"23","6","var3",951.65701189868,"6","var3",0.859193133534191
"24","6","var4",8371.07709392527,"6","var4",0.759169018269919
"25","7","var1",9.6185819508853,"7","var1",1.04307887545274
"26","7","var2",99.9902966712989,"7","var2",1.08942823131984
"27","7","var3",915.017592918883,"7","var3",0.826113634501955
"28","7","var4",9135.72866157843,"7","var4",0.828514906907722
"29","8","var1",12.0749198375246,"8","var1",1.30945433221036
"30","8","var2",99.7451673095458,"8","var2",1.08675746369629
"31","8","var3",1015.73511116478,"8","var3",0.917045345214437
"32","8","var4",9718.37032566139,"8","var4",0.881354403565325
"33","9","var1",11.027138407442,"9","var1",1.19582857309207
"34","9","var2",111.691168003804,"9","var2",1.21691319721184
"35","9","var3",984.69077102707,"9","var3",0.88901730197205
"36","9","var4",8774.57958598108,"9","var4",0.795762468231784
"37","10","var1",10.4730142279943,"10","var1",1.13573705139887
"38","10","var2",103.424273068109,"10","var2",1.12684257007982
"39","10","var3",895.537887959005,"10","var3",0.808526595752135
"40","10","var4",9220.50911770158,"10","var4",0.836203606333294
"41","11","var1",8.12073680693224,"11","var1",0.880646342639198
"42","11","var2",93.6796960720734,"11","var2",1.02067209519215
"43","11","var3",1054.55368584031,"11","var3",0.952092271152865
"44","11","var4",8331.27449844536,"11","var4",0.755559339730821
"45","12","var1",8.76081097362162,"12","var1",0.95005863702998
"46","12","var2",94.828865058391,"12","var2",1.03319268146831
"47","12","var3",1042.20926968961,"12","var3",0.94094724993035
"48","12","var4",11385.643234495,"12","var4",1.03255859427882
"49","13","var1",11.1604186017981,"13","var1",1.21028202953284
"50","13","var2",101.076741866855,"13","var2",1.10126542059943
"51","13","var3",1029.05129126446,"13","var3",0.929067712898908
"52","13","var4",9213.6888228711,"13","var4",0.835585077024261
"53","14","var1",10.0036712909534,"14","var1",1.08483955887137
"54","14","var2",87.7961724872536,"14","var2",0.956569108139221
"55","14","var3",1026.28125676445,"14","var3",0.926566817521369
"56","14","var4",10608.5926253045,"14","var4",0.962088242434456
"57","15","var1",9.90454793392834,"15","var1",1.0740902113787
"58","15","var2",97.9470365716888,"15","var2",1.06716621879915
"59","15","var3",887.776231538689,"15","var3",0.801519069072032
"60","15","var4",9785.53344045939,"15","var4",0.887445394647244
"61","16","var1",11.7955512283972,"16","var1",1.27915844284399
"62","16","var2",88.114404244949,"16","var2",0.960036351186569
"63","16","var3",889.920640144384,"16","var3",0.803455124947698
"64","16","var4",9726.67359178252,"16","var4",0.882107422838579
"65","17","var1",8.67786151909823,"17","var1",0.941063254531241
"66","17","var2",109.857787208253,"17","var2",1.1969378909679
"67","17","var3",1044.39241206287,"17","var3",0.942918276164778
"68","17","var4",10716.2322440102,"17","var4",0.971850028491724
"69","18","var1",9.72391358686495,"18","var1",1.05450147443544
"70","18","var2",91.7313360314615,"18","var2",0.999444051035068
"71","18","var3",943.444606930832,"18","var3",0.851778653453706
"72","18","var4",9207.66992520803,"18","var4",0.83503922604491
"73","19","var1",9.25602349007168,"19","var1",1.00376153392335
"74","19","var2",104.776614757794,"19","var2",1.14157679194114
"75","19","var3",904.888391927202,"19","var3",0.816968596077999
"76","19","var4",9985.73742392672,"19","var4",0.905601799119127
"77","20","var1",8.92994987487429,"20","var1",0.968400760205185
"78","20","var2",91.0433651210004,"20","var2",0.991948374383092
"79","20","var3",1144.06030490285,"20","var3",1.03290234404978
"80","20","var4",9575.67870100982,"20","var4",0.868413767684588
"81","21","var1",9.65047452647769,"21","var1",1.04653743847732
"82","21","var2",95.0519123137735,"21","var2",1.03562285704555
"83","21","var3",996.194410418013,"21","var3",0.899403237084987
"84","21","var4",10006.7424517041,"21","var4",0.907506735143196
"85","22","var1",10.8055596608276,"22","var1",1.17179965583348
"86","22","var2",90.6706981237589,"22","var2",0.987888040918829
"87","22","var3",966.565097398363,"22","var3",0.872652735612794
"88","22","var4",9422.82342557337,"22","var4",0.854551395126261
"89","23","var1",11.6053016602595,"23","var1",1.25852699149266
"90","23","var2",92.3505693504123,"23","var2",1.00619080828949
"91","23","var3",820.904530179035,"23","var3",0.741144684269957
"92","23","var4",9078.63686545595,"23","var4",0.82333727894811
"93","24","var1",11.4475957542015,"24","var1",1.24142470968198
"94","24","var2",97.6983341721315,"24","var2",1.06445652171558
"95","24","var3",941.437146604713,"24","var3",0.849966239835692
"96","24","var4",9539.88031461815,"24","var4",0.865167228971865
"97","25","var1",9.87169777581646,"25","var1",1.07052780413855
"98","25","var2",103.433363346059,"25","var2",1.12694161174445
"99","25","var3",1083.06057323466,"25","var3",0.977829402915073
"100","25","var4",9115.08522357661,"25","var4",0.826642763289199
"101","26","var1",9.4610735531908,"26","var1",1.02599801226724
"102","26","var2",78.8457390427951,"26","var2",0.859051096876621
"103","26","var3",1039.76824339494,"26","var3",0.93874339601562
"104","26","var4",11280.9857572088,"26","var4",1.02306725721497
"105","27","var1",10.391586049635,"27","var1",1.12690664238984
"106","27","var2",105.572015386238,"27","var2",1.15024295184548
"107","27","var3",872.020674303161,"27","var3",0.787294336397849
"108","27","var4",11766.8830385099,"27","var4",1.06713305160277
"109","28","var1",10.879217022828,"28","var1",1.17978736532293
"110","28","var2",115.065654400341,"28","var2",1.25367937222058
"111","28","var3",1029.2750423854,"28","var3",0.929269724153311
